id,target
1118822,136736
1118823,219514
1118824,192276
1118825,151719
1118826,124019
1118827,119140
1118828,143477
1118829,112839
1118830,81521
1118831,318552
1118832,283020
1118833,284307
1118834,267240
1118835,207166
1118836,285663
1118837,264536
1118838,209042
1118839,286080
1118840,292824
1118841,261124
1118842,256426
1118843,298369
1118844,161315
1118845,220957
1118846,29333
1118847,30091
1118848,72685
1118849,108576
1118850,72640
1118851,88885
1118852,113934
1118853,114582
1118854,128262
1118855,115688
1118856,171175
1118857,197023
1118858,59414
1118859,218021
1118860,162022
1118861,202689
1118862,147902
1118863,92455
1118864,102214
1118865,150232
1118866,96450
1118867,118604
1118868,197791
1118869,205847
1118870,93060
1118871,111275
1118872,198462
1118873,99128
1118874,115761
1118875,157888
1118876,99779
1118877,153851
1118878,140744
1118879,111257
1118880,130681
1118881,93608
1118882,93608
1118883,197321
1118884,175297
1118885,192467
1118886,194739
1118887,200552
1118888,496403
1118889,250989
1118890,232027
1118891,200421
1118892,224084
1118893,263811
1118894,241586
1118895,201532
1118896,241380
1118897,261577
1118898,265586
1118899,241789
1118900,193945
1118901,239622
1118902,157190
1118903,136485
1118904,141676
1118905,111022
1118906,138014
1118907,118691
1118908,138776
1118909,119431
1118910,129662
1118911,146258
1118912,109361
1118913,133953
1118914,154073
1118915,118766
1118916,122374
1118917,113824
1118918,135888
1118919,135888
1118920,117393
1118921,128729
1118922,142363
1118923,115738
1118924,112797
1118925,145261
1118926,156004
1118927,148019
1118928,148453
1118929,152336
1118930,110095
1118931,110095
1118932,123541
1118933,122289
1118934,119843
1118935,182515
1118936,103475
1118937,121710
1118938,88182
1118939,110533
1118940,161773
1118941,152496
1118942,93051
1118943,92811
1118944,179251
1118945,276205
1118946,201561
1118947,187194
1118948,257165
1118949,264405
1118950,202517
1118951,227580
1118952,204625
1118953,261652
1118954,188226
1118955,56926
1118956,41471
1118957,58834
1118958,52465
1118959,42987
1118960,49691
1118961,42370
1118962,47427
1118963,46346
1118964,41812
1118965,38419
1118966,50668
1118967,49846
1118968,41274
1118969,55808
1118970,56486
1118971,55123
1118972,59198
1118973,56882
1118974,57919
1118975,44848
1118976,44583
1118977,46242
1118978,59020
1118979,57431
1118980,44627
1118981,53992
1118982,109075
1118983,114282
1118984,142663
1118985,152008
1118986,205954
1118987,27732
1118988,104898
1118989,111596
1118990,114155
1118991,120443
1118992,108004
1118993,145631
1118994,59819
1118995,133705
1118996,57408
1118997,54993
1118998,58635
1118999,16690
1119000,210776
1119001,258211
1119002,240015
1119003,208621
1119004,26132
1119005,205266
1119006,272615
1119007,205611
1119008,51353
1119009,176948
1119010,165857
1119011,178744
1119012,176413
1119013,58782
1119014,312068
1119015,309287
1119016,274023
1119017,355422
1119018,249961
1119019,358886
1119020,258869
1119021,255276
1119022,232753
1119023,228581
1119024,259671
1119025,227991
1119026,317314
1119027,229614
1119028,359988
1119029,238318
1119030,272621
1119031,209556
1119032,208379
1119033,202675
1119034,229462
1119035,228129
1119036,151902
1119037,262409
1119038,185270
1119039,183838
1119040,186928
1119041,263285
1119042,316430
1119043,254980
1119044,247094
1119045,159668
1119046,159612
1119047,55127
1119048,30850
1119049,26549
1119050,64150
1119051,193949
1119052,177170
1119053,182080
1119054,26215
1119055,179747
1119056,109184
1119057,112758
1119058,143186
1119059,100230
1119060,143155
1119061,129490
1119062,124774
1119063,88993
1119064,121775
1119065,160050
1119066,51508
1119067,120394
1119068,118174
1119069,117857
1119070,121955
1119071,174417
1119072,94228
1119073,15002
1119074,311325
1119075,148214
1119076,266645
1119077,734306
1119078,545075
1119079,345308
1119080,244622
1119081,270172
1119082,284390
1119083,251690
1119084,496148
1119085,232657
1119086,496015
