id,target
1118822,58570
1118823,50550
1118824,86081
1118825,81241
1118826,46066
1118827,68646
1118828,66188
1118829,61897
1118830,67024
1118831,80666
1118832,59235
1118833,57525
1118834,59632
1118835,32687
1118836,57426
1118837,57149
1118838,33412
1118839,58201
1118840,55569
1118841,60878
1118842,64063
1118843,64848
1118844,28198
1118845,76387
1118846,32449
1118847,32036
1118848,53269
1118849,47700
1118850,41220
1118851,52869
1118852,56296
1118853,53462
1118854,68135
1118855,54570
1118856,79776
1118857,81126
1118858,48098
1118859,85320
1118860,60884
1118861,91428
1118862,62947
1118863,56467
1118864,57987
1118865,66011
1118866,56652
1118867,60230
1118868,83434
1118869,70643
1118870,59473
1118871,60526
1118872,84761
1118873,56558
1118874,59562
1118875,63831
1118876,57759
1118877,63445
1118878,60709
1118879,58903
1118880,45372
1118881,56109
1118882,56109
1118883,50189
1118884,49807
1118885,48700
1118886,26928
1118887,25934
1118888,82788
1118889,47511
1118890,60765
1118891,25979
1118892,52755
1118893,48495
1118894,48601
1118895,25979
1118896,47615
1118897,47511
1118898,46774
1118899,41268
1118900,26539
1118901,60765
1118902,63661
1118903,59104
1118904,63213
1118905,61446
1118906,66160
1118907,65038
1118908,67839
1118909,64182
1118910,61369
1118911,68112
1118912,60323
1118913,61572
1118914,67831
1118915,65014
1118916,64182
1118917,60656
1118918,63538
1118919,63538
1118920,65038
1118921,65322
1118922,67453
1118923,60656
1118924,60323
1118925,68112
1118926,63538
1118927,68114
1118928,61369
1118929,66160
1118930,61446
1118931,65014
1118932,65038
1118933,64182
1118934,60656
1118935,48395
1118936,63712
1118937,63281
1118938,66699
1118939,64080
1118940,82483
1118941,93824
1118942,55071
1118943,56375
1118944,83580
1118945,55042
1118946,42092
1118947,41964
1118948,55604
1118949,56326
1118950,42215
1118951,64706
1118952,43162
1118953,51060
1118954,42002
1118955,51297
1118956,45823
1118957,49815
1118958,49394
1118959,47300
1118960,49982
1118961,46463
1118962,46694
1118963,44992
1118964,45922
1118965,46417
1118966,50137
1118967,50137
1118968,46992
1118969,54870
1118970,50802
1118971,46100
1118972,55808
1118973,48697
1118974,49834
1118975,46559
1118976,47567
1118977,47763
1118978,54156
1118979,50743
1118980,47639
1118981,50904
1118982,59454
1118983,60436
1118984,54010
1118985,59210
1118986,74475
1118987,31553
1118988,67802
1118989,67591
1118990,68752
1118991,71145
1118992,70088
1118993,58259
1118994,47120
1118995,98532
1118996,50158
