id,target
1118822,195570
1118823,299233
1118824,319697
1118825,266423
1118826,210446
1118827,248830
1118828,256202
1118829,240180
1118830,190411
1118831,415981
1118832,279415
1118833,266702
1118834,271619
1118835,200287
1118836,271381
1118837,270707
1118838,204966
1118839,274657
1118840,277174
1118841,271462
1118842,302226
1118843,320895
1118844,160861
1118845,358859
1118846,40320
1118847,40030
1118848,182135
1118849,219841
1118850,157669
1118851,166838
1118852,224425
1118853,224557
1118854,251997
1118855,224587
1118856,298429
1118857,295677
1118858,83749
1118859,407783
1118860,268045
1118861,414569
1118862,271225
1118863,181421
1118864,182950
1118865,263072
1118866,202057
1118867,191288
1118868,355349
1118869,320034
1118870,183513
1118871,207918
1118872,358878
1118873,181589
1118874,207222
1118875,270944
1118876,182504
1118877,270989
1118878,252545
1118879,207344
1118880,195079
1118881,186780
1118882,186780
1118883,212732
1118884,212410
1118885,212426
1118886,185021
1118887,185019
1118888,474623
1118889,245173
1118890,253884
1118891,184537
1118892,234751
1118893,258924
1118894,249022
1118895,184537
1118896,249082
1118897,242106
1118898,247287
1118899,233953
1118900,179283
1118901,253884
1118902,265177
1118903,206356
1118904,262974
1118905,223143
1118906,247418
1118907,224155
1118908,248852
1118909,224033
1118910,237448
1118911,249583
1118912,214026
1118913,220421
1118914,249253
1118915,224112
1118916,224033
1118917,214703
1118918,238437
1118919,238437
1118920,224522
1118921,224742
1118922,249111
1118923,214703
1118924,214026
1118925,249583
1118926,238437
1118927,249584
1118928,237448
1118929,247418
1118930,223143
1118931,224112
1118932,224522
1118933,224033
1118934,214703
1118935,215693
1118936,241991
1118937,243211
1118938,193263
1118939,241495
1118940,293808
1118941,302687
1118942,226076
1118943,227172
1118944,320902
1118945,279038
1118946,224601
1118947,210705
1118948,271561
1118949,284213
1118950,223245
1118951,297730
1118952,227961
1118953,275845
1118954,213028
1118955,133355
1118956,114605
1118957,141734
1118958,132859
1118959,115388
1118960,132859
1118961,114605
1118962,114053
1118963,107550
1118964,95372
1118965,95860
1118966,127394
1118967,127394
1118968,95839
1118969,132009
1118970,114139
1118971,106050
1118972,132366
1118973,109842
1118974,113220
1118975,95218
1118976,95252
1118977,95783
1118978,131560
1118979,114195
1118980,95252
1118981,113609
1118982,203574
1118983,207428
1118984,219250
1118985,230786
1118986,292777
1118987,41296
1118988,198890
1118989,198376
1118990,205485
1118991,206604
1118992,206379
1118993,209816
1118994,91718
1118995,222967
1118996,96957
1118997,95006
1118998,99834
1118999,22867
1119000,282507
1119001,396609
1119002,395310
1119003,277901
1119004,36228
1119005,303226
1119006,321443
1119007,309285
1119008,73480
1119009,280029
1119010,273645
1119011,282871
1119012,280029
1119013,77764
1119014,456829
1119015,459698
1119016,411236
1119017,518658
1119018,346653
1119019,482591
1119020,348963
1119021,352835
1119022,316081
1119023,312803
1119024,342452
1119025,316941
1119026,469648
1119027,318239
1119028,511403
1119029,343484
1119030,403310
1119031,287937
1119032,287937
1119033,297343
1119034,305578
1119035,298586
1119036,235354
1119037,357550
1119038,267261
1119039,258147
1119040,265117
1119041,358212
1119042,521173
1119043,350288
1119044,335886
1119045,257748
1119046,257748
1119047,90919
1119048,43153
1119049,43181
1119050,155503
1119051,293216
1119052,274893
1119053,285635
1119054,30367
1119055,273882
1119056,199118
1119057,202147
1119058,242901
1119059,192178
1119060,247717
1119061,219369
1119062,221036
1119063,178422
1119064,219893
1119065,295413
1119066,167526
1119067,253284
1119068,246271
1119069,253284
1119070,246271
1119071,322424
1119072,222853
1119073,38305
1119074,486388
1119075,241337
1119076,459202
1119077,903868
1119078,689444
1119079,516535
1119080,383216
1119081,364587
1119082,389988
1119083,368481
1119084,626722
1119085,378005
1119086,598804
1119087,306473
1119088,190768
1119089,167828
1119090,171622
1119091,35782
1119092,36920
1119093,39527
1119094,164345
1119095,162338
1119096,146506
1119097,161736
1119098,358071
1119099,357976
1119100,254623
1119101,130050
1119102,132661
1119103,123929
1119104,157960
1119105,134771
1119106,146168
1119107,142487
1119108,145285
1119109,146095
1119110,145430
1119111,139183
1119112,137687
1119113,148944
1119114,147673
1119115,142307
1119116,179867
1119117,198130
1119118,179156
1119119,146247
1119120,220391
1119121,236992
1119122,240192
1119123,183484
1119124,180359
1119125,183842
1119126,183100
1119127,241294
1119128,235286
1119129,182928
1119130,237372
1119131,344348
1119132,187213
1119133,241221
1119134,188319
1119135,184520
1119136,186511
1119137,188319
1119138,240848
1119139,41615
1119140,191038
1119141,197747
1119142,160543
1119143,185266
1119144,192524
1119145,185266
1119146,193312
1119147,115363
1119148,128612
1119149,121281
1119150,126440
1119151,118964
1119152,115363
1119153,158093
1119154,137892
1119155,140362
1119156,160003
1119157,194407
1119158,197939
1119159,195803
1119160,197395
1119161,194407
1119162,209136
1119163,210584
1119164,209716
1119165,64502
1119166,63110
1119167,65537
1119168,80038
1119169,77400
1119170,67651
1119171,59145
1119172,64714
1119173,94822
1119174,107878
1119175,111175
1119176,90890
1119177,89511
1119178,91205
1119179,87944
1119180,86153
1119181,84420
1119182,84420
1119183,88473
1119184,90076
1119185,90371
1119186,88149
1119187,128682
1119188,122955
1119189,90698
1119190,91346
1119191,86049
1119192,82145
1119193,95112
1119194,12859
1119195,13236
1119196,121435
1119197,98892
1119198,118180
1119199,98977
1119200,116331
1119201,117453
1119202,98594
1119203,123153
1119204,138497
1119205,138900
