id,target
1118822,175632
1118823,234325
1118824,170162
1118825,172040
1118826,166943
1118827,231074
1118828,240382
1118829,214945
1118830,183667
1118831,230096
1118832,265386
1118833,249169
1118834,260150
1118835,217781
1118836,259244
1118837,257208
1118838,165992
1118839,253374
1118840,251733
1118841,257087
1118842,218073
1118843,308111
1118844,149586
1118845,385955
1118846,137011
1118847,135559
1118848,162456
1118849,209583
1118850,159098
1118851,160085
1118852,214736
1118853,207560
1118854,190276
1118855,209562
1118856,280849
1118857,281272
1118858,49186
1118859,409381
1118860,248436
1118861,415047
1118862,254347
1118863,165773
1118864,167083
1118865,257382
1118866,194420
1118867,179205
1118868,332587
1118869,286670
1118870,170662
1118871,193553
1118872,327107
1118873,166043
1118874,197185
1118875,262338
1118876,162880
1118877,256534
1118878,240048
1118879,190457
1118880,186492
1118881,176833
1118882,176833
1118883,191016
1118884,192220
1118885,193614
1118886,174525
1118887,176576
1118888,186324
1118889,230061
1118890,190786
1118891,177644
1118892,191429
1118893,231571
1118894,229270
1118895,177644
1118896,231571
1118897,229913
1118898,230318
1118899,218060
1118900,167295
1118901,190786
1118902,252878
1118903,199766
1118904,254031
1118905,204140
1118906,238790
1118907,205958
1118908,231768
1118909,212551
1118910,220922
1118911,234128
1118912,195440
1118913,197003
1118914,235348
1118915,206995
1118916,212551
1118917,196645
1118918,226992
1118919,226992
1118920,212520
1118921,215302
1118922,236972
1118923,196645
1118924,195440
1118925,234128
1118926,226992
1118927,232220
1118928,220922
1118929,238790
1118930,204140
1118931,206995
1118932,212520
1118933,212551
1118934,196645
1118935,209968
1118936,210936
1118937,211531
1118938,192110
1118939,215158
1118940,246113
1118941,257409
1118942,217757
1118943,212498
1118944,288319
1118945,262579
1118946,246563
1118947,193784
1118948,256398
1118949,276657
1118950,248489
1118951,247470
1118952,244856
1118953,251887
1118954,201187
1118955,123422
1118956,104017
1118957,133724
1118958,123097
1118959,104370
1118960,123097
1118961,104017
1118962,100927
1118963,99691
1118964,88179
1118965,90615
1118966,114932
1118967,114932
1118968,89443
1118969,122658
1118970,108802
1118971,96249
1118972,123004
1118973,101063
1118974,102954
1118975,91200
1118976,89428
1118977,89784
1118978,123167
1118979,106736
1118980,89428
1118981,108198
1118982,191446
1118983,186944
1118984,173907
1118985,174854
1118986,278146
1118987,135454
1118988,201645
1118989,195738
1118990,205519
1118991,205001
1118992,204286
1118993,136276
1118994,86310
1118995,215610
1118996,91620
1118997,90518
1118998,90061
1118999,21274
1119000,258472
1119001,375109
1119002,380425
1119003,252471
1119004,36329
1119005,292432
1119006,276322
1119007,296302
1119008,246838
1119009,281010
1119010,270617
1119011,276519
1119012,281010
1119013,255804
1119014,410346
1119015,409852
1119016,450312
1119017,469409
1119018,357383
1119019,351743
1119020,350815
1119021,352728
1119022,278329
1119023,271438
1119024,365543
1119025,292014
1119026,470269
1119027,273889
1119028,461826
1119029,338804
1119030,319328
1119031,283930
1119032,283930
1119033,274224
1119034,283792
1119035,276232
1119036,226902
1119037,335564
1119038,255376
1119039,245288
1119040,250862
1119041,335886
1119042,328678
1119043,319752
1119044,343279
1119045,248645
1119046,248645
1119047,89538
1119048,89327
1119049,89651
1119050,146864
1119051,286861
1119052,259294
1119053,283153
1119054,28642
1119055,247316
1119056,210845
1119057,212312
1119058,193978
1119059,180290
1119060,201897
1119061,204133
1119062,204305
1119063,164703
1119064,205330
1119065,266141
1119066,161141
1119067,173645
1119068,169292
1119069,173645
1119070,169292
1119071,332187
1119072,208683
1119073,34385
1119074,481536
1119075,229809
1119076,448896
1119077,437464
1119078,414049
1119079,533767
1119080,352033
1119081,324467
1119082,351064
1119083,330796
1119084,361617
1119085,356636
1119086,333234
1119087,339514
1119088,183301
1119089,220505
1119090,231694
1119091,46407
1119092,48926
1119093,47674
1119094,156230
1119095,157715
1119096,152255
1119097,159602
1119098,213061
1119099,208516
1119100,208742
1119101,117136
1119102,121189
1119103,115707
1119104,121963
1119105,120291
1119106,141291
1119107,130172
1119108,133651
1119109,129102
1119110,130526
1119111,131081
1119112,133408
1119113,132581
1119114,129430
1119115,148436
1119116,158948
1119117,176825
1119118,156959
1119119,152384
1119120,208064
1119121,195042
1119122,230233
1119123,174809
1119124,171625
1119125,171882
1119126,174684
1119127,234819
1119128,218938
1119129,173752
1119130,227324
1119131,218499
1119132,173864
1119133,232005
1119134,181084
1119135,171251
1119136,170407
1119137,181084
1119138,221902
1119139,35844
1119140,167548
1119141,164880
1119142,150366
1119143,166954
1119144,166725
1119145,166954
1119146,165565
1119147,124804
1119148,136968
1119149,130288
1119150,118668
1119151,123070
1119152,124804
1119153,136582
1119154,150249
1119155,151713
1119156,151369
1119157,183144
1119158,189826
1119159,183198
1119160,181636
1119161,183144
1119162,197552
1119163,206582
1119164,190650
1119165,59907
1119166,59396
1119167,59907
1119168,73861
1119169,74247
1119170,59907
1119171,58220
1119172,59907
1119173,87071
1119174,89282
1119175,90137
1119176,85748
1119177,84186
1119178,86008
1119179,83321
1119180,86650
1119181,75628
1119182,75628
1119183,76892
1119184,76989
1119185,79039
1119186,79264
1119187,110424
1119188,105623
1119189,84609
1119190,91026
1119191,91197
1119192,81846
1119193,88783
1119194,13279
1119195,12519
1119196,98572
1119197,92266
1119198,110889
1119199,93206
1119200,108841
1119201,109796
1119202,92310
1119203,119618
1119204,121954
1119205,122399
1119206,93206
1119207,116832
1119208,92350
1119209,77305
1119210,76448
1119211,105548
1119212,74193
1119213,108959
1119214,111518
1119215,106351
1119216,100781
1119217,106046
1119218,95509
1119219,106351
1119220,106661
1119221,141268
1119222,107406
1119223,94465
1119224,141268
1119225,108959
1119226,95668
1119227,142549
1119228,107300
1119229,89066
1119230,106351
1119231,66052
1119232,66598
1119233,70035
1119234,81934
1119235,81098
1119236,109717
1119237,120015
1119238,99880
1119239,117702
1119240,117702
1119241,115085
1119242,120287
1119243,88810
1119244,71896
1119245,88810
1119246,74317
1119247,87456
1119248,87033
1119249,80624
1119250,112349
1119251,117244
1119252,106425
1119253,111003
1119254,31974
1119255,30673
1119256,36484
1119257,30810
1119258,201432
1119259,200232
1119260,255049
1119261,255036
1119262,187096
1119263,227213
1119264,222877
1119265,227519
1119266,298020
1119267,294910
1119268,145948
1119269,154768
1119270,195003
1119271,239536
1119272,251103
1119273,253003
1119274,152517
1119275,592004
1119276,535647
1119277,528014
1119278,535458
1119279,207280
1119280,191286
1119281,205345
1119282,255870
1119283,256277
1119284,252017
1119285,114767
1119286,117843
1119287,114767
1119288,323803
1119289,300238
1119290,84768
1119291,89653
1119292,112831
1119293,85396
1119294,114501
1119295,116023
1119296,84368
1119297,82867
1119298,116023
1119299,84615
1119300,85084
1119301,88901
1119302,86914
1119303,112831
1119304,112831
1119305,113993
1119306,85833
1119307,85084
1119308,88584
1119309,86086
1119310,116023
1119311,86475
1119312,152610
1119313,168395
1119314,170313
1119315,168626
1119316,160467
1119317,166270
1119318,129745
1119319,107394
1119320,109369
1119321,109369
1119322,110029
1119323,110065
1119324,110065
1119325,97615
1119326,97753
1119327,99456
1119328,115303
1119329,116744
1119330,86835
1119331,115303
1119332,223844
1119333,220430
1119334,197500
1119335,88204
1119336,457443
1119337,455513
1119338,300024
1119339,300257
1119340,386775
1119341,295767
1119342,408266
1119343,644822
1119344,631597
1119345,543502
1119346,515446
1119347,515446
1119348,545386
1119349,515208
1119350,364885
1119351,331485
1119352,237781
1119353,237781
1119354,352885
1119355,288358
1119356,446142
1119357,439738
1119358,419897
1119359,424041
1119360,303713
1119361,341461
1119362,407468
1119363,381211
1119364,363696
1119365,538597
1119366,435158
1119367,420466
1119368,420466
1119369,467738
1119370,475825
1119371,474223
1119372,471538
1119373,492719
1119374,174203
1119375,231939
1119376,173864
1119377,177129
1119378,179887
1119379,161185
1119380,21804
1119381,353377
1119382,278812
1119383,233511
1119384,232306
1119385,278092
1119386,255099
1119387,160440
1119388,158633
1119389,165125
1119390,126813
1119391,156259
1119392,156626
1119393,159231
