id,target
1118822,140730
1118823,99469
1118824,200636
1118825,149661
1118826,106707
1118827,130613
1118828,146581
1118829,108605
1118830,83813
1118831,368194
1118832,287182
1118833,289190
1118834,271787
1118835,224052
1118836,294463
1118837,263836
1118838,221735
1118839,288737
1118840,296736
1118841,274955
1118842,102260
1118843,309618
1118844,172433
1118845,215625
1118846,29694
1118847,29722
1118848,75667
1118849,109319
1118850,62304
1118851,79119
1118852,113469
1118853,112459
1118854,129847
1118855,114481
1118856,181676
1118857,197155
1118858,58090
1118859,217381
1118860,167594
1118861,225780
1118862,157394
1118863,92813
1118864,102513
1118865,148813
1118866,106697
1118867,114607
1118868,199282
1118869,190951
1118870,86753
1118871,108695
1118872,190455
1118873,89652
1118874,104117
1118875,148573
1118876,91701
1118877,154053
1118878,151116
1118879,116976
1118880,119100
1118881,99443
1118882,99443
1118883,175909
1118884,159128
1118885,176926
1118886,210358
1118887,211810
1118888,413642
1118889,262254
1118890,123401
1118891,201226
1118892,127357
1118893,285611
1118894,281097
1118895,215695
1118896,278891
1118897,270406
1118898,271180
1118899,245394
1118900,232017
1118901,132429
1118902,153795
1118903,134307
1118904,152183
1118905,115308
1118906,151631
1118907,123835
1118908,150037
1118909,122416
1118910,141234
1118911,151565
1118912,117353
1118913,134526
1118914,159507
1118915,110786
1118916,118136
1118917,113319
1118918,146430
1118919,146430
1118920,119590
1118921,120899
1118922,144717
1118923,117277
1118924,115874
1118925,144688
1118926,158202
1118927,154681
1118928,148178
1118929,157689
1118930,115208
1118931,115630
1118932,120084
1118933,127076
1118934,117953
1118935,197979
1118936,117089
1118937,119544
1118938,85457
1118939,110649
1118940,159251
1118941,159676
1118942,87772
1118943,89073
1118944,168353
1118945,265522
1118946,223217
1118947,219597
1118948,274965
1118949,271306
1118950,226826
1118951,118688
1118952,229382
1118953,274956
1118954,221488
1118955,54918
1118956,47480
1118957,67392
1118958,54590
1118959,41855
1118960,50998
1118961,41570
1118962,41017
1118963,37228
1118964,30940
1118965,30346
1118966,44971
1118967,44858
1118968,27995
1118969,52251
1118970,52885
1118971,48611
1118972,61476
1118973,49137
1118974,53137
1118975,33632
1118976,36242
1118977,36175
1118978,58379
1118979,53349
1118980,35593
1118981,51847
1118982,87233
1118983,88147
1118984,140206
1118985,142502
1118986,207205
1118987,11758
1118988,98192
1118989,105018
1118990,104010
1118991,79020
1118992,78227
1118993,125407
1118994,22998
1118995,105016
1118996,23568
1118997,24121
1118998,30615
1118999,-3268
1119000,165875
1119001,229483
1119002,214443
1119003,173394
1119004,23071
1119005,175206
1119006,177097
1119007,189546
1119008,44912
1119009,170949
1119010,169773
1119011,178013
1119012,174095
1119013,31373
1119014,285811
1119015,283744
1119016,251564
1119017,335367
1119018,52606
1119019,332735
1119020,235370
1119021,244856
1119022,210461
1119023,213542
1119024,213853
1119025,208457
1119026,269706
1119027,208425
1119028,334607
1119029,233594
1119030,242091
1119031,183628
1119032,184266
1119033,180982
1119034,196716
1119035,197151
1119036,137480
1119037,219949
1119038,157224
1119039,153768
1119040,149384
1119041,212288
1119042,330400
1119043,204384
1119044,207034
1119045,143316
1119046,136392
1119047,57837
1119048,35633
1119049,31852
1119050,73096
1119051,202426
1119052,172203
1119053,157951
1119054,26088
1119055,159082
1119056,107119
1119057,105262
1119058,129138
1119059,93372
1119060,121763
1119061,131431
1119062,122725
1119063,90684
1119064,103256
1119065,141919
1119066,66411
1119067,91309
1119068,55420
1119069,43007
1119070,43451
1119071,100941
1119072,81852
1119073,2597
1119074,214196
1119075,71320
1119076,191142
1119077,617793
1119078,485864
1119079,300268
1119080,216388
1119081,218623
1119082,258965
1119083,235109
1119084,464171
1119085,237130
1119086,470048
1119087,241262
1119088,103123
1119089,83201
1119090,93814
1119091,26988
1119092,25513
1119093,24515
1119094,92945
1119095,89432
1119096,82610
1119097,87953
1119098,208268
1119099,229627
1119100,117535
1119101,78712
1119102,88326
1119103,72730
1119104,101478
1119105,76238
1119106,99731
1119107,109286
1119108,111773
1119109,108451
1119110,106389
1119111,93320
1119112,91052
1119113,114391
1119114,107069
1119115,104857
1119116,151648
1119117,167510
1119118,144622
1119119,122570
1119120,120624
1119121,152693
1119122,127781
1119123,93650
1119124,92583
1119125,90674
1119126,88788
1119127,121378
1119128,114492
1119129,91287
1119130,138783
1119131,243969
1119132,93090
1119133,112904
1119134,87246
1119135,84512
1119136,90681
1119137,84482
1119138,115371
1119139,23274
1119140,105028
1119141,130212
1119142,89519
1119143,124816
1119144,128758
1119145,123696
1119146,120269
1119147,97206
1119148,108890
1119149,100137
1119150,117068
1119151,115194
1119152,104355
1119153,114973
1119154,98177
1119155,93735
1119156,108784
1119157,159977
1119158,157320
1119159,158201
1119160,154275
1119161,140095
1119162,115694
1119163,113661
1119164,129974
1119165,65624
1119166,65925
1119167,63182
1119168,82102
1119169,80654
1119170,62525
1119171,58665
1119172,58463
1119173,54133
1119174,80479
1119175,78211
1119176,57768
1119177,52908
1119178,55913
1119179,51462
1119180,42135
1119181,50176
1119182,46197
1119183,65911
1119184,57513
1119185,54084
1119186,47321
1119187,74650
1119188,57586
1119189,103635
1119190,117426
1119191,115764
1119192,50516
1119193,110557
1119194,11896
1119195,12540
1119196,87209
1119197,63718
1119198,79413
1119199,68479
1119200,79393
1119201,77949
1119202,60191
1119203,86095
1119204,90597
1119205,89915
1119206,58445
1119207,73336
1119208,59421
1119209,39095
1119210,39883
1119211,75001
1119212,44597
1119213,126909
1119214,128049
1119215,136662
1119216,124248
1119217,132104
1119218,125048
1119219,135375
1119220,130700
1119221,148342
1119222,132264
1119223,121756
1119224,148342
1119225,132320
1119226,126075
1119227,165339
1119228,128422
1119229,120666
1119230,143369
1119231,44970
1119232,37822
1119233,42060
1119234,53804
1119235,50045
1119236,144263
1119237,141352
1119238,130563
1119239,152820
1119240,151437
1119241,144917
1119242,150077
1119243,67659
1119244,63696
1119245,66811
1119246,58275
1119247,64602
1119248,69421
1119249,67779
1119250,139713
1119251,137731
1119252,172004
1119253,139280
1119254,34820
1119255,38573
1119256,36898
1119257,37097
1119258,177201
1119259,195110
1119260,338280
1119261,463649
1119262,270047
1119263,271256
1119264,262109
1119265,355110
1119266,261685
1119267,266814
1119268,222232
1119269,213759
1119270,144262
1119271,261976
1119272,263362
1119273,269975
1119274,162821
1119275,548488
1119276,624488
1119277,546505
1119278,536055
1119279,338143
1119280,42318
1119281,154209
1119282,272135
1119283,279686
1119284,274991
1119285,151959
1119286,151287
1119287,151321
1119288,370205
1119289,303361
1119290,87120
1119291,93435
1119292,111682
1119293,89718
1119294,115591
1119295,114307
1119296,87304
1119297,88807
1119298,118920
1119299,86290
1119300,87298
1119301,94535
1119302,94316
1119303,122944
1119304,123006
1119305,126923
1119306,89777
1119307,89313
1119308,95117
1119309,89515
1119310,126340
1119311,91858
1119312,167979
1119313,184691
1119314,184134
1119315,180537
1119316,177563
1119317,179041
1119318,143310
1119319,122613
1119320,124474
1119321,125780
1119322,128962
1119323,128013
1119324,126590
1119325,107930
1119326,105914
1119327,106502
1119328,121795
1119329,121607
1119330,96768
1119331,123239
1119332,129217
1119333,481372
1119334,70769
1119335,105017
1119336,522571
1119337,445114
1119338,384546
1119339,423275
1119340,449556
1119341,413309
1119342,449685
1119343,713094
1119344,684266
1119345,699724
1119346,612118
1119347,612307
1119348,679043
1119349,587439
1119350,407781
1119351,385400
1119352,286072
1119353,285726
1119354,372668
1119355,321810
1119356,588678
1119357,531866
1119358,386569
1119359,482538
1119360,318893
1119361,525569
1119362,334374
1119363,397556
1119364,377033
1119365,590217
1119366,305468
1119367,306219
1119368,303224
1119369,513955
1119370,528648
1119371,363096
1119372,347151
1119373,486998
1119374,191097
1119375,248968
1119376,179044
1119377,179640
1119378,180568
1119379,110239
1119380,25343
1119381,259321
1119382,311776
1119383,332268
1119384,186016
1119385,312293
1119386,272611
1119387,51088
1119388,52965
1119389,162378
1119390,120657
1119391,25727
1119392,31036
1119393,25425
1119394,54281
1119395,74800
1119396,40375
1119397,141251
1119398,188020
1119399,319297
1119400,314141
1119401,287071
1119402,93789
1119403,91434
1119404,93109
1119405,57727
1119406,128417
1119407,59090
1119408,56487
1119409,127475
1119410,103308
1119411,247106
1119412,282661
1119413,283215
1119414,49919
1119415,52489
1119416,52074
1119417,44738
1119418,207555
1119419,208508
1119420,203934
1119421,242656
1119422,307128
1119423,246816
1119424,94463
1119425,208050
1119426,83258
1119427,78590
1119428,180333
1119429,244863
1119430,231926
1119431,303696
1119432,172905
1119433,250023
1119434,218275
1119435,194619
1119436,241942
1119437,245542
1119438,201476
1119439,87841
1119440,112365
1119441,65247
1119442,73474
1119443,149966
1119444,152096
1119445,152941
1119446,150100
1119447,155898
1119448,146791
1119449,100310
1119450,99546
1119451,100179
1119452,136805
1119453,108071
1119454,107648
1119455,134496
1119456,105298
1119457,122913
1119458,81447
1119459,69613
1119460,83367
1119461,396363
1119462,148122
1119463,248162
1119464,167009
1119465,138575
1119466,148411
1119467,70708
1119468,108675
1119469,60404
1119470,50742
1119471,59242
1119472,33983
1119473,102259
1119474,103292
1119475,150468
1119476,118808
1119477,89304
1119478,152944
1119479,153328
1119480,152934
1119481,124905
1119482,152968
1119483,153975
1119484,122642
1119485,152608
1119486,152959
1119487,128710
1119488,123135
1119489,166129
1119490,130025
1119491,170953
1119492,126222
1119493,124045
1119494,126727
1119495,168776
1119496,149706
1119497,163700
1119498,169973
1119499,129615
1119500,148618
1119501,129174
1119502,129819
1119503,128111
1119504,170123
1119505,133270
1119506,145310
1119507,125350
1119508,130496
1119509,170795
1119510,149051
1119511,128661
1119512,130171
1119513,131904
1119514,131746
1119515,170693
1119516,132864
1119517,125135
1119518,132780
1119519,150435
1119520,148872
1119521,148905
1119522,126073
1119523,131800
1119524,132376
1119525,150769
1119526,169949
1119527,150837
1119528,131422
1119529,134443
1119530,133901
1119531,137040
1119532,168486
1119533,131528
1119534,127593
1119535,173484
1119536,72389
1119537,73918
1119538,140308
1119539,126466
1119540,124695
1119541,122405
1119542,115655
1119543,145928
1119544,148710
1119545,148638
1119546,141496
1119547,123827
1119548,121955
1119549,147861
1119550,189481
1119551,159378
1119552,121457
1119553,160035
1119554,161244
1119555,153661
1119556,125463
1119557,139300
1119558,184231
1119559,117910
1119560,129033
1119561,167812
1119562,152751
1119563,133219
1119564,131149
1119565,160652
1119566,159993
1119567,150343
1119568,160742
1119569,149439
1119570,95669
1119571,88062
1119572,94920
1119573,58264
1119574,136107
1119575,156250
1119576,133459
1119577,13922
1119578,13936
1119579,13793
1119580,128628
1119581,11618
1119582,10557
1119583,16464
1119584,82578
1119585,73834
1119586,73765
1119587,74420
1119588,85236
1119589,57286
1119590,82768
1119591,82880
1119592,24533
1119593,24846
1119594,24579
1119595,56338
1119596,88889
1119597,70945
1119598,69271
1119599,76608
1119600,69442
1119601,71710
1119602,68706
1119603,85714
1119604,68372
1119605,65183
1119606,59636
1119607,56126
1119608,50928
1119609,56574
1119610,62881
1119611,40301
1119612,89058
1119613,12037
1119614,12662
1119615,13002
1119616,62455
1119617,63008
1119618,69313
1119619,62409
1119620,59436
1119621,2401
1119622,1030
1119623,79980
1119624,78539
1119625,101253
1119626,81529
1119627,84568
1119628,61168
1119629,77421
1119630,85083
1119631,97022
1119632,105185
1119633,71958
1119634,86578
1119635,81557
1119636,79983
1119637,79446
1119638,119244
1119639,118800
1119640,118397
1119641,116349
1119642,162990
1119643,125759
1119644,115512
1119645,81232
1119646,91555
1119647,70145
1119648,87136
1119649,79880
1119650,62298
1119651,84171
1119652,110027
1119653,61279
1119654,105821
1119655,106180
1119656,102628
1119657,120235
1119658,132932
1119659,52761
1119660,133100
1119661,134371
1119662,138660
1119663,115293
1119664,115653
1119665,140013
1119666,146101
1119667,139670
1119668,126853
1119669,142921
1119670,141382
1119671,143919
1119672,179817
1119673,46795
1119674,48142
1119675,67350
1119676,58119
1119677,79567
1119678,70514
1119679,62696
1119680,61960
1119681,77482
1119682,80743
1119683,61358
1119684,56419
1119685,54781
1119686,62205
1119687,69413
1119688,68624
1119689,100513
1119690,118714
1119691,48349
1119692,133396
1119693,107179
1119694,128288
1119695,145350
1119696,133989
1119697,134950
