id,target
1118822,134937
1118823,87854
1118824,200308
1118825,152676
1118826,116813
1118827,124015
1118828,149496
1118829,113328
1118830,86180
1118831,346494
1118832,278776
1118833,273070
1118834,273890
1118835,210180
1118836,281750
1118837,263894
1118838,205520
1118839,280716
1118840,286424
1118841,257894
1118842,70710
1118843,303795
1118844,160148
1118845,221596
1118846,29993
1118847,30615
1118848,71904
1118849,105203
1118850,65150
1118851,86318
1118852,115087
1118853,126509
1118854,136101
1118855,120300
1118856,168625
1118857,193553
1118858,62654
1118859,207624
1118860,152804
1118861,202851
1118862,143278
1118863,90368
1118864,93847
1118865,152172
1118866,101038
1118867,123262
1118868,208966
1118869,209012
1118870,101748
1118871,113263
1118872,210051
1118873,101141
1118874,118126
1118875,152679
1118876,94357
1118877,148626
1118878,135666
1118879,109893
1118880,116631
1118881,95335
1118882,95335
1118883,200887
1118884,170603
1118885,203213
1118886,202843
1118887,201519
1118888,455770
1118889,253501
1118890,69142
1118891,203551
1118892,78020
1118893,261166
1118894,243175
1118895,202010
1118896,250067
1118897,257141
1118898,259510
1118899,247830
1118900,189692
1118901,79850
1118902,162601
1118903,131667
1118904,149557
1118905,111922
1118906,136146
1118907,116025
1118908,134707
1118909,118732
1118910,124380
1118911,145185
1118912,105678
1118913,126647
1118914,147277
1118915,113093
1118916,128167
1118917,111933
1118918,136712
1118919,136712
1118920,115790
1118921,130631
1118922,141775
1118923,117090
1118924,114613
1118925,144080
1118926,150104
1118927,147726
1118928,144902
1118929,151792
1118930,111973
1118931,109558
1118932,124622
1118933,121304
1118934,119516
1118935,184621
1118936,95624
1118937,120985
1118938,89697
1118939,110895
1118940,160833
1118941,143718
1118942,92111
1118943,87540
1118944,182978
1118945,264334
1118946,203979
1118947,204300
1118948,270501
1118949,263254
1118950,209509
1118951,50306
1118952,206464
1118953,258362
1118954,193910
1118955,51885
1118956,43092
1118957,66129
1118958,55002
1118959,44320
1118960,52854
1118961,42304
1118962,41352
1118963,41655
1118964,31920
1118965,29726
1118966,48538
1118967,48538
1118968,36376
1118969,53678
1118970,52448
1118971,48747
1118972,56892
1118973,48908
1118974,50315
1118975,38973
1118976,36634
1118977,42633
1118978,56054
1118979,50378
1118980,33139
1118981,40358
1118982,97038
1118983,99988
1118984,123031
1118985,134734
1118986,192242
1118987,22261
1118988,90422
1118989,103331
1118990,108804
1118991,111935
1118992,113984
1118993,118502
1118994,44048
1118995,131289
1118996,42075
1118997,40997
1118998,49930
1118999,12651
1119000,167752
1119001,256917
1119002,236247
1119003,177348
1119004,27982
1119005,230332
1119006,291481
1119007,223346
1119008,58594
1119009,170208
1119010,168633
1119011,162201
1119012,164831
1119013,39822
1119014,311244
1119015,306030
1119016,278449
1119017,367615
1119018,76272
1119019,384080
1119020,299749
1119021,287445
1119022,253676
1119023,250246
1119024,294134
1119025,260419
1119026,348584
1119027,261582
1119028,387571
1119029,266102
1119030,276045
1119031,193625
1119032,195950
1119033,190266
1119034,207042
1119035,210534
1119036,137247
1119037,238547
1119038,164411
1119039,161588
1119040,162483
1119041,242337
1119042,332793
1119043,246223
1119044,221120
1119045,155954
1119046,152326
1119047,72856
1119048,37392
1119049,29257
1119050,75581
1119051,198697
1119052,173580
1119053,172515
1119054,21886
1119055,170141
1119056,114290
1119057,109954
1119058,133111
1119059,106920
1119060,139043
1119061,134381
1119062,125469
1119063,94474
1119064,127513
1119065,151687
1119066,65073
1119067,107987
1119068,108887
1119069,102829
1119070,112904
1119071,167429
1119072,87438
1119073,7261
1119074,287295
1119075,113181
1119076,222481
1119077,734778
1119078,511087
1119079,335598
1119080,234590
1119081,228757
1119082,247116
1119083,226473
1119084,484004
1119085,241403
1119086,513088
1119087,228265
1119088,96570
1119089,96172
1119090,85304
1119091,18889
1119092,19157
1119093,23383
1119094,90439
1119095,95407
1119096,90298
1119097,92146
1119098,187198
1119099,208600
1119100,127330
1119101,79152
1119102,84172
1119103,74149
1119104,91455
1119105,71589
1119106,100190
1119107,111873
1119108,124423
1119109,109159
1119110,109961
1119111,99832
1119112,95100
1119113,112139
1119114,106467
1119115,105027
1119116,139836
1119117,159484
1119118,125006
1119119,119365
1119120,109748
1119121,143044
1119122,125592
1119123,95451
1119124,91162
1119125,93282
1119126,89879
1119127,120774
1119128,113789
1119129,90523
1119130,127438
1119131,251056
1119132,99371
1119133,115007
1119134,99136
1119135,95018
1119136,105592
1119137,95744
1119138,137151
1119139,24851
1119140,81426
1119141,133494
1119142,82012
1119143,117644
1119144,120603
1119145,119939
1119146,122052
1119147,113846
1119148,130384
1119149,125386
1119150,137813
1119151,121019
1119152,115888
1119153,151150
1119154,96925
1119155,100224
1119156,98235
1119157,161152
1119158,151975
1119159,155839
1119160,144880
1119161,123613
1119162,115213
1119163,119335
1119164,138038
1119165,62495
1119166,60269
1119167,63343
1119168,79344
1119169,77537
1119170,62189
1119171,62018
1119172,65355
1119173,52510
1119174,88854
1119175,82505
1119176,47027
1119177,45536
1119178,51041
1119179,58632
1119180,46064
1119181,50034
1119182,49310
1119183,49964
1119184,46875
1119185,54135
1119186,44220
1119187,64320
1119188,68471
1119189,93938
1119190,104872
1119191,99200
1119192,31633
1119193,103086
1119194,11103
1119195,10638
1119196,88968
1119197,61341
1119198,73715
1119199,68117
1119200,74558
1119201,76375
1119202,61540
1119203,80251
1119204,91614
1119205,88635
1119206,60866
1119207,75511
1119208,62493
1119209,37262
1119210,39043
1119211,84043
1119212,44839
1119213,121591
1119214,126280
1119215,118681
1119216,113710
1119217,115031
1119218,101240
1119219,115900
1119220,115395
1119221,142623
1119222,123283
1119223,117949
1119224,144650
1119225,121358
1119226,122901
1119227,160228
1119228,119426
1119229,101527
1119230,120026
1119231,41190
1119232,41192
1119233,46303
1119234,52282
1119235,53528
1119236,140232
1119237,145666
1119238,121604
1119239,130248
1119240,137571
1119241,132606
1119242,138616
1119243,63125
1119244,54822
1119245,61332
1119246,55257
1119247,59477
1119248,57684
1119249,59719
1119250,142097
1119251,136806
1119252,166088
1119253,138262
1119254,40439
1119255,36573
1119256,37020
1119257,40808
1119258,151590
1119259,190646
1119260,393598
1119261,636764
1119262,232242
1119263,257653
1119264,233047
1119265,307667
1119266,252319
1119267,248463
1119268,209317
1119269,201715
1119270,119634
1119271,254902
1119272,255732
1119273,252508
1119274,149485
1119275,525807
1119276,585186
1119277,479235
1119278,533482
1119279,346682
1119280,12799
1119281,124085
1119282,261304
1119283,263962
1119284,260547
1119285,147689
1119286,143502
1119287,138796
1119288,366195
1119289,275506
1119290,90448
1119291,96358
1119292,113196
1119293,87632
1119294,108193
1119295,109452
1119296,88928
1119297,86777
1119298,108871
1119299,86546
1119300,88364
1119301,95159
1119302,93699
1119303,110598
1119304,110579
1119305,111027
1119306,89406
1119307,89261
1119308,92747
1119309,90410
1119310,109389
1119311,91001
1119312,158604
1119313,169679
1119314,174036
1119315,176145
1119316,172804
1119317,173073
1119318,142453
1119319,123032
1119320,126122
1119321,126122
1119322,125022
1119323,124191
1119324,123994
1119325,99028
1119326,101807
1119327,100859
1119328,115159
1119329,115322
1119330,94513
1119331,113392
1119332,141400
1119333,527866
1119334,90173
1119335,111066
1119336,511141
1119337,451792
1119338,372764
1119339,376578
1119340,402313
1119341,378050
1119342,414160
1119343,612127
1119344,557079
1119345,593435
1119346,536769
1119347,537590
1119348,564611
1119349,531093
1119350,392197
1119351,389763
1119352,261765
1119353,261726
1119354,325747
1119355,284852
1119356,518466
1119357,465358
1119358,370848
1119359,422708
1119360,310093
1119361,469505
