id,target
1118822,193856
1118823,126967
1118824,330073
1118825,268601
1118826,200997
1118827,238846
1118828,241185
1118829,227869
1118830,199890
1118831,387886
1118832,264621
1118833,256874
1118834,253442
1118835,185780
1118836,260163
1118837,254782
1118838,188262
1118839,269226
1118840,276076
1118841,252846
1118842,146121
1118843,306279
1118844,142720
1118845,317402
1118846,40995
1118847,41489
1118848,165069
1118849,209681
1118850,152526
1118851,159750
1118852,215182
1118853,212401
1118854,232189
1118855,215303
1118856,282855
1118857,280052
1118858,83141
1118859,391157
1118860,251464
1118861,390357
1118862,247483
1118863,167610
1118864,170172
1118865,253690
1118866,196380
1118867,186512
1118868,349398
1118869,302629
1118870,169701
1118871,195396
1118872,347127
1118873,172583
1118874,196065
1118875,254535
1118876,171232
1118877,255530
1118878,239970
1118879,193128
1118880,189614
1118881,171753
1118882,171753
1118883,195892
1118884,196771
1118885,198453
1118886,168778
1118887,170161
1118888,453171
1118889,234587
1118890,103454
1118891,174709
1118892,96707
1118893,230401
1118894,228745
1118895,169595
1118896,223963
1118897,232994
1118898,244415
1118899,221956
1118900,169324
1118901,101566
1118902,252326
1118903,201982
1118904,251347
1118905,205417
1118906,230004
1118907,209959
1118908,232578
1118909,210118
1118910,221528
1118911,237324
1118912,201755
1118913,208987
1118914,239473
1118915,206319
1118916,207966
1118917,194191
1118918,221764
1118919,221764
1118920,211099
1118921,209281
1118922,236422
1118923,199240
1118924,196198
1118925,238225
1118926,229185
1118927,240486
1118928,227645
1118929,239660
1118930,212548
1118931,207248
1118932,209100
1118933,209711
1118934,199440
1118935,190476
1118936,226128
1118937,237650
1118938,198592
1118939,234476
1118940,287218
1118941,283698
1118942,232963
1118943,225749
1118944,308340
1118945,260478
1118946,209381
1118947,200091
1118948,263175
1118949,263714
1118950,213626
1118951,140411
1118952,218259
1118953,255418
1118954,199742
1118955,140054
1118956,120534
1118957,143921
1118958,138847
1118959,120369
1118960,140575
1118961,119207
1118962,119974
1118963,117308
1118964,107253
1118965,106790
1118966,129097
1118967,129232
1118968,106863
1118969,132124
1118970,120388
1118971,112593
1118972,133177
1118973,114247
1118974,120326
1118975,105286
1118976,107119
1118977,108841
1118978,136344
1118979,124856
1118980,108050
1118981,122588
1118982,188325
1118983,194055
1118984,226005
1118985,229636
1118986,295203
1118987,39369
1118988,193173
1118989,195512
1118990,196743
1118991,190208
1118992,197078
1118993,178251
1118994,104597
1118995,198097
1118996,106069
1118997,104582
1118998,113829
1118999,22295
1119000,260417
1119001,368172
1119002,373442
1119003,264989
1119004,37561
1119005,268498
1119006,323548
1119007,282148
1119008,76412
1119009,273467
1119010,263068
1119011,278497
1119012,270310
1119013,62806
1119014,421189
1119015,420035
1119016,394414
1119017,503308
1119018,139435
1119019,462082
1119020,331622
1119021,329997
1119022,294442
1119023,295220
1119024,317667
1119025,300443
1119026,445780
1119027,299036
1119028,486107
1119029,322449
1119030,382389
1119031,280400
1119032,284752
1119033,296588
1119034,290427
1119035,287406
1119036,216017
1119037,343541
1119038,253067
1119039,239093
1119040,242270
1119041,344418
1119042,484414
1119043,343648
1119044,321885
1119045,237058
1119046,237058
1119047,94796
1119048,47402
1119049,48994
1119050,154335
1119051,290709
1119052,260900
1119053,264173
1119054,31129
1119055,260814
1119056,190025
1119057,194058
1119058,230663
1119059,186174
1119060,230439
1119061,219444
1119062,216063
1119063,180567
1119064,217306
1119065,290515
1119066,169052
1119067,243658
1119068,236341
1119069,236195
1119070,237291
1119071,314511
1119072,211780
1119073,36926
1119074,470228
1119075,228135
1119076,428017
1119077,849454
1119078,628746
1119079,470512
1119080,350933
1119081,361529
1119082,388821
1119083,359442
1119084,591167
1119085,348665
1119086,574917
1119087,292664
1119088,186926
1119089,159248
1119090,164992
1119091,35855
1119092,36432
1119093,35045
1119094,156429
1119095,155060
1119096,143237
1119097,152162
1119098,349342
1119099,332629
1119100,244494
1119101,119400
1119102,119419
1119103,109068
1119104,154087
1119105,119637
1119106,140434
1119107,131854
1119108,136173
1119109,137871
1119110,135665
1119111,126465
1119112,127488
1119113,137867
1119114,139567
1119115,130311
1119116,166102
1119117,179333
1119118,168140
1119119,135220
1119120,202597
1119121,224069
1119122,223741
1119123,173446
1119124,171816
1119125,171477
1119126,171908
1119127,227448
1119128,221495
1119129,171811
1119130,223439
1119131,330653
1119132,176097
1119133,226120
1119134,178867
1119135,175272
1119136,178203
1119137,181562
1119138,225163
1119139,47412
1119140,176063
1119141,191548
1119142,147252
1119143,170513
1119144,177172
1119145,176790
1119146,179233
1119147,105417
1119148,117233
1119149,122994
1119150,130110
1119151,117185
1119152,114698
1119153,153024
1119154,119632
1119155,119849
1119156,148175
1119157,184628
1119158,182268
1119159,189191
1119160,184503
1119161,180816
1119162,193205
1119163,197434
1119164,187991
1119165,60146
1119166,59360
1119167,63240
1119168,74281
1119169,72279
1119170,62108
1119171,59453
1119172,63605
1119173,87871
1119174,116147
1119175,119004
1119176,85313
1119177,83378
1119178,85794
1119179,85218
1119180,80852
1119181,79251
1119182,81826
1119183,85981
1119184,86449
1119185,86042
1119186,84095
1119187,134861
1119188,128159
1119189,80897
1119190,88862
1119191,80991
1119192,25478
1119193,90019
1119194,12915
1119195,12691
1119196,113974
1119197,92830
1119198,110495
1119199,91765
1119200,111523
1119201,108251
1119202,91174
1119203,112809
1119204,128433
1119205,130267
1119206,91127
1119207,110004
1119208,91926
1119209,69989
1119210,75208
1119211,103611
1119212,74298
1119213,107406
1119214,111541
1119215,106407
1119216,100506
1119217,105358
1119218,94152
1119219,106707
1119220,107238
1119221,136751
1119222,110656
1119223,97856
1119224,139439
1119225,109194
1119226,103776
1119227,146782
1119228,104575
1119229,91659
1119230,108435
1119231,67838
1119232,67779
1119233,70117
1119234,86447
1119235,82005
1119236,111670
1119237,119064
1119238,101531
1119239,114424
1119240,121131
1119241,111670
1119242,122815
1119243,87352
1119244,74541
1119245,87996
1119246,75057
1119247,85866
1119248,86243
1119249,83941
1119250,118890
1119251,124410
1119252,166698
1119253,119443
1119254,31792
1119255,32858
1119256,33621
1119257,34596
1119258,162899
1119259,188389
1119260,309394
1119261,520705
1119262,223412
1119263,232447
1119264,218965
1119265,300383
1119266,232082
1119267,231528
1119268,193122
1119269,200270
1119270,118698
1119271,234592
1119272,238561
1119273,235918
1119274,155982
1119275,499191
1119276,594655
1119277,486797
1119278,504171
1119279,315654
1119280,17702
1119281,142968
1119282,249232
1119283,244034
1119284,243009
1119285,126382
1119286,125138
1119287,123230
1119288,337971
1119289,278438
1119290,85254
1119291,92681
1119292,113845
1119293,85584
1119294,113991
1119295,112858
1119296,81823
1119297,83819
1119298,112693
1119299,82363
1119300,84030
1119301,91717
1119302,90867
1119303,113023
1119304,113515
1119305,113580
1119306,84831
1119307,84458
1119308,90352
1119309,85025
1119310,114022
1119311,87856
1119312,157189
1119313,165199
1119314,168428
1119315,164640
1119316,158756
1119317,164101
1119318,127437
1119319,112574
1119320,113160
1119321,113160
1119322,112667
1119323,112906
1119324,112139
1119325,97330
1119326,98393
1119327,100843
1119328,112733
1119329,114249
1119330,91466
1119331,114407
1119332,131180
1119333,483229
1119334,31306
1119335,81386
1119336,466676
1119337,437710
1119338,348039
1119339,360033
1119340,401959
1119341,366877
1119342,387734
1119343,604933
1119344,546581
1119345,588956
1119346,511466
1119347,510243
1119348,570987
1119349,531435
1119350,351225
1119351,342241
1119352,240516
1119353,239807
1119354,299952
1119355,257014
1119356,497441
1119357,453996
1119358,339665
1119359,435868
1119360,284765
1119361,443783
1119362,276915
1119363,366923
1119364,319663
1119365,571669
1119366,303551
1119367,308370
1119368,291477
1119369,434309
1119370,483564
1119371,332152
1119372,326743
1119373,473363
1119374,169557
1119375,227539
1119376,170905
1119377,171258
1119378,171855
1119379,91240
1119380,19701
1119381,262906
1119382,294594
1119383,292802
1119384,170282
1119385,277835
1119386,231900
1119387,37213
1119388,39104
1119389,160838
1119390,127918
1119391,21763
1119392,22370
1119393,22514
1119394,45409
1119395,68074
1119396,31348
1119397,156333
1119398,179384
1119399,311506
1119400,298621
1119401,280125
1119402,79421
1119403,78653
1119404,80305
1119405,43349
1119406,108232
1119407,17814
1119408,48529
1119409,118514
1119410,81186
1119411,248034
1119412,270391
1119413,277087
1119414,43801
1119415,42476
1119416,42642
1119417,25286
1119418,183607
1119419,195219
1119420,184847
1119421,276274
1119422,335213
1119423,265571
1119424,94741
1119425,208819
1119426,49699
1119427,45981
1119428,182302
1119429,237276
1119430,239020
1119431,323341
1119432,175293
1119433,235006
1119434,186833
1119435,174738
1119436,228008
1119437,230020
1119438,183924
1119439,89656
1119440,113801
1119441,88003
1119442,103409
1119443,204172
1119444,200922
1119445,197212
1119446,195287
1119447,203201
1119448,199442
1119449,126536
1119450,125769
1119451,123821
1119452,162727
1119453,123796
1119454,123582
1119455,162002
1119456,129712
1119457,160879
1119458,107843
1119459,95030
1119460,111120
1119461,425757
1119462,218526
1119463,294104
1119464,245774
1119465,165367
1119466,181636
1119467,137344
1119468,146310
1119469,80270
1119470,88498
1119471,91903
1119472,36844
1119473,144661
1119474,138678
1119475,192764
1119476,190924
1119477,81700
1119478,132298
1119479,128993
1119480,126791
1119481,104164
1119482,129156
1119483,134280
1119484,107287
1119485,129845
1119486,129925
1119487,118935
1119488,104329
1119489,154871
1119490,117677
1119491,161091
1119492,112723
1119493,106362
1119494,114174
1119495,153744
1119496,134170
1119497,154479
1119498,157410
1119499,121451
1119500,138570
1119501,120303
1119502,119175
1119503,116990
1119504,156873
1119505,118835
1119506,135494
1119507,110366
1119508,120446
1119509,159290
1119510,139917
1119511,119373
1119512,110243
1119513,117949
1119514,117294
1119515,159493
1119516,118412
1119517,105789
1119518,119009
1119519,135540
1119520,139766
1119521,140292
1119522,111201
1119523,120441
1119524,119629
1119525,138606
1119526,155719
1119527,138606
1119528,121772
1119529,122797
1119530,120038
1119531,124817
1119532,159503
1119533,122429
1119534,115058
1119535,163674
1119536,87385
1119537,87322
1119538,135827
1119539,117482
1119540,113263
1119541,111850
1119542,107584
1119543,133643
1119544,133894
1119545,133000
1119546,133779
1119547,110108
1119548,108173
1119549,135508
1119550,189362
1119551,141604
1119552,108215
1119553,140633
1119554,139450
1119555,135177
1119556,107648
1119557,127645
1119558,187539
1119559,106829
1119560,105014
1119561,138522
1119562,129425
1119563,106634
1119564,104496
1119565,138356
1119566,136563
1119567,127628
1119568,134090
1119569,129627
1119570,79839
1119571,79508
1119572,82555
1119573,60744
1119574,107091
1119575,140162
1119576,103020
1119577,10986
1119578,11191
1119579,10487
1119580,80618
1119581,10219
1119582,10689
1119583,11413
1119584,84603
1119585,67528
1119586,66744
1119587,67658
1119588,83497
1119589,46899
1119590,82638
1119591,82080
1119592,12301
1119593,10099
1119594,11165
1119595,47099
1119596,94409
1119597,69172
1119598,69172
1119599,75750
1119600,69206
1119601,71735
1119602,69059
1119603,80094
1119604,68817
1119605,68044
1119606,54091
1119607,53872
1119608,46784
1119609,56492
1119610,64074
1119611,36892
1119612,84087
1119613,9728
1119614,8561
1119615,9952
1119616,67552
1119617,72127
1119618,82319
1119619,82661
1119620,80662
1119621,9324
1119622,9523
1119623,78301
1119624,67213
1119625,102038
1119626,76998
1119627,79404
1119628,59701
1119629,72339
1119630,97981
1119631,96055
1119632,117347
1119633,65160
1119634,81126
1119635,76250
1119636,76609
1119637,75464
1119638,110259
1119639,106603
1119640,107251
1119641,105190
1119642,150172
1119643,101170
1119644,95322
1119645,85388
1119646,87928
1119647,75926
1119648,87849
1119649,88137
1119650,76807
1119651,88827
1119652,102834
1119653,75731
1119654,108585
1119655,110933
1119656,121892
1119657,141028
1119658,131766
1119659,68965
1119660,116312
1119661,118651
1119662,125647
1119663,105053
1119664,112022
1119665,134859
1119666,136583
1119667,135174
1119668,109644
1119669,124026
1119670,123350
1119671,122836
1119672,164507
1119673,74689
1119674,75490
1119675,91254
1119676,95021
1119677,108243
1119678,114102
1119679,95948
1119680,94515
1119681,116854
1119682,109215
1119683,94524
1119684,91650
1119685,93073
1119686,94605
1119687,115187
1119688,109688
1119689,98348
1119690,112881
1119691,74468
1119692,134677
1119693,102309
1119694,123258
1119695,137065
1119696,128663
1119697,127270
1119698,140676
1119699,138714
1119700,125551
1119701,129317
1119702,131843
1119703,131843
1119704,132680
1119705,126854
1119706,126600
1119707,102238
1119708,108915
1119709,106114
1119710,127055
1119711,103046
1119712,129702
1119713,128828
1119714,135093
1119715,127847
1119716,119707
1119717,107647
1119718,136825
1119719,125711
1119720,104744
1119721,95021
1119722,86393
1119723,69711
1119724,66425
1119725,68498
1119726,48149
1119727,60396
1119728,62515
1119729,49361
1119730,60746
1119731,68845
1119732,58814
1119733,50799
1119734,64778
1119735,48756
1119736,92434
1119737,83404
1119738,74696
1119739,58973
1119740,58973
1119741,47446
1119742,59000
1119743,53467
1119744,50716
1119745,64902
1119746,64620
1119747,53867
1119748,54211
1119749,45354
1119750,47446
1119751,64963
1119752,54115
1119753,62199
1119754,48170
1119755,54834
1119756,46107
1119757,67301
1119758,69464
1119759,66085
1119760,64943
1119761,58265
1119762,56885
1119763,48368
1119764,73885
1119765,70330
1119766,86267
1119767,87295
1119768,73936
1119769,83251
1119770,125796
1119771,95421
1119772,129306
1119773,112717
1119774,90826
1119775,95856
1119776,93185
1119777,95265
1119778,87266
1119779,90089
1119780,89392
1119781,73135
1119782,69197
1119783,78062
1119784,72001
1119785,88668
1119786,67030
1119787,80413
1119788,80757
1119789,76855
1119790,75918
1119791,114720
1119792,92378
1119793,128930
1119794,115480
1119795,114967
1119796,92767
1119797,92886
1119798,94629
1119799,73047
1119800,80255
1119801,144022
1119802,141251
1119803,118205
1119804,104440
1119805,104286
1119806,134444
1119807,103686
1119808,107682
1119809,132275
1119810,99561
1119811,130136
1119812,134093
1119813,105909
1119814,101213
1119815,132054
1119816,125750
1119817,131062
1119818,103160
1119819,102707
1119820,182877
1119821,135736
1119822,134527
1119823,133240
1119824,133009
1119825,126087
1119826,105927
1119827,104806
1119828,103836
1119829,103243
1119830,99515
1119831,105234
1119832,111734
1119833,117938
1119834,99388
1119835,32954
1119836,120655
1119837,35195
1119838,124351
1119839,118281
1119840,94153
1119841,56894
1119842,57112
1119843,17668
1119844,62499
1119845,24933
1119846,41202
1119847,50799
1119848,38600
1119849,36226
1119850,63961
1119851,52139
1119852,53435
1119853,72679
1119854,81590
1119855,81312
1119856,81460
1119857,102502
1119858,74690
1119859,76303
1119860,79479
1119861,102756
1119862,78985
1119863,70791
1119864,72577
1119865,73227
1119866,57462
1119867,65002
1119868,37211
1119869,93700
1119870,94762
1119871,91844
1119872,94371
1119873,129331
1119874,55044
1119875,56895
1119876,65212
1119877,74588
1119878,71197
1119879,75777
1119880,73693
1119881,52172
1119882,55608
1119883,81485
1119884,79097
1119885,65061
1119886,59713
1119887,46509
1119888,55003
1119889,53815
1119890,112743
1119891,130423
1119892,123440
1119893,123440
1119894,114673
1119895,127894
1119896,113389
1119897,93163
1119898,167127
1119899,114292
1119900,127386
1119901,133534
1119902,92451
1119903,93458
1119904,109086
1119905,93798
1119906,111169
1119907,107696
1119908,134536
1119909,113043
1119910,136275
1119911,128472
1119912,93262
1119913,113071
1119914,92728
1119915,115012
1119916,92476
1119917,93073
1119918,113383
1119919,138110
1119920,57234
1119921,129789
1119922,81889
1119923,76897
1119924,73606
1119925,69810
1119926,77623
1119927,94093
1119928,75328
1119929,71307
1119930,98848
1119931,77048
1119932,78613
1119933,80084
1119934,78809
1119935,89544
1119936,90968
1119937,80302
1119938,78575
1119939,72965
1119940,73308
1119941,70219
1119942,76399
1119943,101979
1119944,73103
1119945,79758
1119946,79771
1119947,96802
1119948,80326
1119949,78952
1119950,97592
1119951,86884
1119952,97592
1119953,73602
1119954,76519
1119955,55611
1119956,70825
1119957,70896
1119958,70176
1119959,71088
1119960,61846
1119961,85138
1119962,60846
1119963,114397
1119964,120742
1119965,112559
1119966,101890
1119967,99861
1119968,58915
1119969,32472
1119970,32040
1119971,30782
1119972,54987
1119973,62239
1119974,88005
1119975,75867
1119976,75937
1119977,76293
1119978,14899
1119979,12854
1119980,18284
1119981,58673
1119982,11433
1119983,70435
1119984,56878
1119985,71148
1119986,60325
1119987,60060
1119988,86220
1119989,67419
1119990,88180
1119991,88681
1119992,45678
1119993,20350
1119994,35726
1119995,29071
1119996,28288
1119997,66080
1119998,68844
1119999,70405
1120000,83312
1120001,33962
1120002,98688
1120003,99751
1120004,90063
1120005,96164
1120006,72520
1120007,88169
1120008,81365
1120009,65051
1120010,63630
1120011,75826
1120012,74840
1120013,64729
1120014,72195
1120015,74747
1120016,74634
1120017,76328
1120018,39663
1120019,65920
1120020,67456
1120021,67192
1120022,67411
1120023,66750
1120024,95162
1120025,77309
1120026,65933
1120027,60612
1120028,66974
1120029,59349
1120030,60320
1120031,67285
1120032,64389
1120033,64976
1120034,84086
1120035,61930
1120036,83875
1120037,64006
1120038,77749
1120039,66338
1120040,64855
1120041,56377
1120042,66266
1120043,64506
1120044,65223
1120045,57356
1120046,56819
1120047,57279
1120048,64311
1120049,62625
1120050,75648
1120051,56114
1120052,64702
1120053,56672
1120054,74043
1120055,62327
1120056,55300
1120057,64145
1120058,64875
1120059,66625
1120060,65225
1120061,54297
1120062,57033
1120063,64983
1120064,65840
1120065,57947
1120066,65840
1120067,66040
1120068,64603
1120069,57744
1120070,64211
1120071,64054
1120072,51983
1120073,56299
1120074,55054
1120075,75320
1120076,55467
1120077,64585
1120078,55681
1120079,64632
1120080,56323
1120081,75102
1120082,55808
1120083,64174
1120084,64202
1120085,56763
1120086,64461
1120087,75231
1120088,56884
1120089,63601
1120090,65824
1120091,64043
1120092,12967
1120093,27307
1120094,50062
1120095,67676
1120096,8697
1120097,9403
1120098,9092
1120099,9092
1120100,9403
1120101,8386
1120102,8386
1120103,8697
1120104,9403
1120105,9088
1120106,9088
1120107,8778
1120108,8778
1120109,9088
1120110,8755
1120111,9066
1120112,9022
1120113,9022
1120114,9105
1120115,8794
1120116,8794
1120117,8794
1120118,9105
1120119,8711
1120120,8711
1120121,9022
1120122,9105
1120123,9105
1120124,8658
1120125,8968
1120126,8977
1120127,8977
1120128,8794
1120129,9066
1120130,9066
1120131,8755
1120132,8666
1120133,8939
1120134,8939
1120135,8628
1120136,8939
1120137,8666
1120138,8977
1120139,8692
1120140,8692
1120141,9002
1120142,8968
1120143,9002
1120144,9002
1120145,8852
1120146,8541
1120147,8541
1120148,8852
1120149,8697
1120150,8968
1120151,8658
1120152,9105
1120153,9105
1120154,8628
1120155,8852
1120156,52999
1120157,53088
1120158,62493
1120159,47812
1120160,51793
1120161,46791
1120162,54686
1120163,46827
1120164,55490
1120165,49682
1120166,49682
1120167,67615
1120168,65446
1120169,49239
1120170,68200
1120171,55078
1120172,51752
1120173,52471
1120174,52847
1120175,52064
1120176,62011
1120177,52482
1120178,61641
1120179,44255
1120180,54759
1120181,54074
1120182,12939
1120183,50245
1120184,70393
1120185,62935
1120186,66873
1120187,72608
1120188,64350
1120189,61322
1120190,66677
1120191,47718
1120192,14037
1120193,9325
1120194,10765
1120195,10093
1120196,17019
1120197,47743
1120198,38106
1120199,20210
1120200,60251
1120201,12175
1120202,26017
1120203,24025
1120204,26184
1120205,28443
1120206,18882
1120207,16440
1120208,64067
1120209,62795
1120210,66917
1120211,50154
1120212,50066
1120213,70074
1120214,55876
1120215,57088
1120216,61580
1120217,56422
1120218,58797
1120219,63744
1120220,60618
1120221,62970
1120222,62781
1120223,57037
1120224,56229
1120225,61316
1120226,53640
1120227,60274
1120228,61771
1120229,61208
1120230,63875
1120231,63621
1120232,70284
1120233,70733
1120234,62739
1120235,71293
1120236,63195
1120237,74926
1120238,63152
1120239,63657
1120240,120021
1120241,126657
1120242,127819
1120243,67447
1120244,103669
1120245,88986
1120246,36371
1120247,59736
1120248,74342
1120249,28213
1120250,91301
1120251,66966
1120252,73066
1120253,74159
1120254,52093
1120255,25891
1120256,74632
1120257,65950
1120258,66927
1120259,69199
1120260,60326
1120261,60326
1120262,48496
1120263,68474
1120264,70591
1120265,98845
1120266,102457
1120267,103126
1120268,91432
1120269,58319
1120270,60009
1120271,51905
1120272,58167
1120273,58501
1120274,60219
1120275,57851
1120276,97463
1120277,115780
1120278,131837
1120279,128616
1120280,127883
1120281,96293
1120282,130774
1120283,132876
1120284,96225
1120285,126844
1120286,88319
1120287,67762
1120288,65001
1120289,64006
1120290,68247
1120291,85224
1120292,63262
1120293,68617
1120294,64796
1120295,63109
1120296,68825
1120297,63984
1120298,63984
1120299,60445
1120300,76130
1120301,58372
1120302,77638
1120303,77340
1120304,58591
1120305,77062
1120306,77038
1120307,76881
1120308,76632
1120309,77062
1120310,75394
1120311,77956
1120312,78270
1120313,77188
1120314,76838
1120315,78336
1120316,76274
1120317,58412
1120318,58185
1120319,57304
1120320,86829
1120321,87827
1120322,68173
1120323,68294
1120324,66338
1120325,80227
1120326,64502
1120327,77438
1120328,78645
1120329,106621
1120330,127765
1120331,124975
1120332,125814
1120333,101826
1120334,108402
1120335,108807
1120336,113288
1120337,106062
1120338,124365
1120339,102525
1120340,123305
1120341,101826
1120342,43375
1120343,52323
1120344,117548
1120345,44814
1120346,115079
1120347,44350
1120348,70279
1120349,60941
1120350,60668
1120351,73673
1120352,52168
1120353,48428
1120354,48546
1120355,47235
1120356,49614
1120357,51581
1120358,40791
1120359,83381
1120360,85864
1120361,98403
1120362,60245
1120363,96021
1120364,76945
1120365,59321
1120366,56274
1120367,82265
1120368,92934
1120369,118505
1120370,117860
1120371,93234
1120372,141326
1120373,123113
1120374,147301
1120375,145578
1120376,115217
1120377,93344
1120378,93848
1120379,143465
1120380,118237
1120381,117250
1120382,144378
1120383,144712
1120384,93725
1120385,142101
1120386,116125
1120387,141686
1120388,90477
1120389,96927
1120390,99245
1120391,133077
1120392,78462
1120393,126947
1120394,86751
1120395,121649
1120396,119197
1120397,97970
1120398,72458
1120399,72458
1120400,106827
1120401,105148
1120402,104913
1120403,104913
1120404,83976
1120405,108237
1120406,106429
1120407,108599
1120408,105788
1120409,76767
1120410,92371
1120411,92519
1120412,87173
1120413,86743
1120414,77169
1120415,87601
1120416,75637
1120417,69677
1120418,71086
1120419,71383
1120420,84462
1120421,68334
1120422,99365
1120423,99365
1120424,72473
1120425,69838
1120426,85720
1120427,83995
1120428,69500
1120429,83554
1120430,70409
1120431,65834
1120432,71369
1120433,71159
1120434,71159
1120435,71159
1120436,72493
1120437,88228
1120438,71485
1120439,71320
1120440,70453
1120441,69258
1120442,69005
1120443,110417
1120444,99240
1120445,100053
1120446,66027
1120447,68698
1120448,14337
1120449,13961
1120450,49865
1120451,49865
1120452,69620
1120453,68639
1120454,88131
1120455,88131
1120456,92400
1120457,75081
1120458,105308
1120459,86903
1120460,85885
1120461,86585
1120462,83330
