id,target
1118822,197195
1118823,278466
1118824,336480
1118825,273964
1118826,214509
1118827,237710
1118828,252570
1118829,235003
1118830,193192
1118831,419454
1118832,282460
1118833,269285
1118834,270193
1118835,199502
1118836,276084
1118837,268956
1118838,207586
1118839,275276
1118840,278672
1118841,270033
1118842,297008
1118843,326257
1118844,157325
1118845,352874
1118846,40951
1118847,40937
1118848,176216
1118849,222120
1118850,155382
1118851,165924
1118852,230016
1118853,228188
1118854,266310
1118855,228149
1118856,297548
1118857,302331
1118858,85584
1118859,414833
1118860,270826
1118861,428527
1118862,270312
1118863,180182
1118864,180137
1118865,267979
1118866,202508
1118867,194962
1118868,354549
1118869,320601
1118870,183112
1118871,209196
1118872,361627
1118873,180251
1118874,206303
1118875,275304
1118876,181513
1118877,269888
1118878,253938
1118879,206086
1118880,206588
1118881,183844
1118882,183844
1118883,214723
1118884,213400
1118885,214550
1118886,186995
1118887,185592
1118888,461804
1118889,245219
1118890,258984
1118891,184501
1118892,230194
1118893,247462
1118894,246198
1118895,184501
1118896,245460
1118897,244000
1118898,244840
1118899,228581
1118900,179917
1118901,258984
1118902,270993
1118903,206398
1118904,268791
1118905,221741
1118906,248952
1118907,223662
1118908,249417
1118909,224712
1118910,235324
1118911,250578
1118912,210597
1118913,218267
1118914,250551
1118915,223662
1118916,224712
1118917,214451
1118918,238809
1118919,238809
1118920,224796
1118921,224968
1118922,250364
1118923,214451
1118924,210597
1118925,250578
1118926,238809
1118927,250723
1118928,235324
1118929,248952
1118930,221741
1118931,223662
1118932,224796
1118933,224712
1118934,214451
1118935,220752
1118936,235800
1118937,235504
1118938,197463
1118939,236423
1118940,291382
1118941,294153
1118942,228239
1118943,227487
1118944,316782
1118945,284984
1118946,232031
1118947,216549
1118948,275129
1118949,282261
1118950,233341
1118951,315047
1118952,233204
1118953,270870
1118954,219598
1118955,131934
1118956,110531
1118957,140427
1118958,131853
1118959,112153
1118960,131853
1118961,112211
1118962,112781
1118963,107845
1118964,97581
1118965,97759
1118966,121911
1118967,121911
1118968,99239
1118969,131952
1118970,115299
1118971,105401
1118972,131407
1118973,109295
1118974,115368
1118975,97269
1118976,97486
1118977,98092
1118978,130079
1118979,114153
1118980,97486
