id,target
1118822,191954
1118823,289605
1118824,323391
1118825,271335
1118826,209774
1118827,242778
1118828,248793
1118829,237305
1118830,193432
1118831,426827
1118832,280637
1118833,269735
1118834,270475
1118835,201233
1118836,273762
1118837,266010
1118838,203789
1118839,277067
1118840,272667
1118841,269954
1118842,324960
1118843,323365
1118844,156748
1118845,359353
1118846,44624
1118847,44329
1118848,180949
1118849,221083
1118850,154209
1118851,164956
1118852,225722
1118853,224899
1118854,252171
1118855,225168
1118856,294579
1118857,296156
1118858,88327
1118859,407464
1118860,271100
1118861,413077
1118862,274255
1118863,182054
1118864,184496
1118865,265616
1118866,199491
1118867,195249
1118868,354588
1118869,321365
1118870,184603
1118871,205492
1118872,355162
1118873,181846
1118874,205178
1118875,273225
1118876,182722
1118877,274031
1118878,256486
1118879,205301
1118880,200238
1118881,186262
1118882,186262
1118883,213024
1118884,211722
1118885,212731
1118886,186068
1118887,185833
1118888,466618
1118889,248250
1118890,248435
1118891,185212
1118892,227784
1118893,249681
1118894,244192
1118895,185212
1118896,244828
1118897,245999
1118898,243500
1118899,231489
1118900,182345
1118901,248435
1118902,271248
1118903,203003
1118904,267872
1118905,221976
1118906,246031
1118907,223777
1118908,247990
1118909,223278
1118910,234910
1118911,247844
1118912,213748
1118913,220751
1118914,248200
1118915,223777
1118916,223278
1118917,214905
1118918,237373
1118919,237373
1118920,223988
1118921,224234
1118922,246977
1118923,214905
1118924,213748
1118925,247844
1118926,237373
1118927,248447
1118928,234910
1118929,246031
1118930,221976
1118931,223777
1118932,223988
1118933,223278
1118934,214905
1118935,217661
1118936,237744
1118937,238109
1118938,195364
1118939,237742
1118940,297584
1118941,299362
1118942,234341
1118943,232732
1118944,313487
1118945,282571
1118946,224190
1118947,214569
1118948,279107
1118949,280845
1118950,223906
1118951,285353
1118952,225775
1118953,273982
1118954,214601
1118955,132182
1118956,111649
1118957,143562
1118958,131719
1118959,113288
1118960,132585
1118961,112655
1118962,113119
1118963,108495
1118964,95961
1118965,96425
1118966,127289
1118967,127289
1118968,97213
1118969,133045
1118970,116054
1118971,109323
1118972,133844
1118973,111847
1118974,115350
1118975,96572
1118976,96852
1118977,97550
1118978,132420
1118979,115657
1118980,96403
1118981,114905
1118982,210016
1118983,213980
1118984,233064
1118985,244635
1118986,300120
1118987,35459
1118988,201256
1118989,199842
1118990,201284
1118991,202871
1118992,203331
1118993,211815
1118994,93389
1118995,216208
1118996,96161
1118997,96730
1118998,101918
1118999,23743
1119000,285998
1119001,393634
1119002,389476
1119003,285745
1119004,36248
1119005,304945
1119006,329436
1119007,313931
1119008,77257
1119009,279652
1119010,274832
1119011,280934
1119012,280159
1119013,85785
1119014,453036
1119015,453013
1119016,402497
1119017,515056
1119018,358178
1119019,469549
1119020,359418
1119021,360168
1119022,309797
1119023,309501
1119024,337942
1119025,316685
1119026,456401
1119027,315230
1119028,522323
1119029,351219
1119030,397869
1119031,290336
1119032,287937
1119033,301847
1119034,305382
1119035,296076
1119036,241373
1119037,362507
1119038,274428
1119039,265552
1119040,273797
1119041,363874
1119042,511692
1119043,353819
1119044,349567
1119045,267330
1119046,267330
1119047,91912
1119048,41519
1119049,41951
1119050,148525
1119051,311927
1119052,286602
1119053,276848
1119054,33037
1119055,282917
1119056,197659
1119057,201370
1119058,248900
1119059,196310
1119060,252933
1119061,226983
1119062,227437
1119063,181988
1119064,225910
1119065,299413
1119066,170536
1119067,254837
1119068,250665
1119069,254273
1119070,252307
1119071,321977
1119072,222788
1119073,36600
1119074,475414
1119075,229362
1119076,454751
1119077,933033
1119078,716835
1119079,500853
1119080,354934
1119081,353131
1119082,386403
1119083,358931
1119084,658202
1119085,364389
1119086,604742
1119087,299429
1119088,190980
1119089,165744
1119090,174256
1119091,41753
1119092,41976
1119093,43840
1119094,163937
1119095,162378
1119096,154145
1119097,163124
1119098,356678
1119099,350512
1119100,243034
1119101,126371
1119102,130402
1119103,122618
1119104,163944
1119105,133044
1119106,146505
1119107,142656
1119108,146348
1119109,146120
1119110,146036
1119111,137844
1119112,136822
1119113,148386
1119114,148227
1119115,141569
1119116,180075
1119117,201276
1119118,178189
1119119,145339
1119120,221565
1119121,241718
1119122,237951
1119123,182884
1119124,180385
1119125,183299
1119126,181587
1119127,240911
1119128,235782
1119129,181371
1119130,236216
1119131,348823
1119132,188487
1119133,241271
1119134,188527
1119135,185267
1119136,188085
