id,target
1118822,66174
1118823,66515
1118824,86169
1118825,81426
1118826,54956
1118827,88644
1118828,83430
1118829,85506
1118830,70416
1118831,86874
1118832,67527
1118833,65455
1118834,69868
1118835,37520
1118836,66365
1118837,67323
1118838,37777
1118839,64939
1118840,63047
1118841,69930
1118842,82260
1118843,67627
1118844,35650
1118845,77135
1118846,35464
1118847,35229
1118848,55270
1118849,58577
1118850,42217
1118851,53337
1118852,64389
1118853,63210
1118854,84544
1118855,63859
1118856,88731
1118857,88621
1118858,45939
1118859,83235
1118860,67538
1118861,93229
1118862,70530
1118863,50256
1118864,51985
1118865,73001
1118866,49195
1118867,52754
1118868,93572
1118869,83227
1118870,53127
1118871,55088
1118872,94944
1118873,50372
1118874,54172
1118875,69861
1118876,51713
1118877,70892
1118878,64941
1118879,53824
1118880,50023
1118881,63161
1118882,63161
1118883,41825
1118884,41988
1118885,41634
1118886,30808
1118887,30600
1118888,83536
1118889,51734
1118890,50222
1118891,30320
1118892,51429
1118893,51264
1118894,53786
1118895,30320
1118896,51038
1118897,53246
1118898,51338
1118899,42570
1118900,25820
1118901,50222
1118902,74650
1118903,52528
1118904,76268
1118905,76764
1118906,83551
1118907,79724
1118908,82501
1118909,81218
1118910,74615
1118911,83482
1118912,72599
1118913,78124
1118914,82655
1118915,79783
1118916,81218
1118917,72550
1118918,74807
1118919,74807
1118920,79877
1118921,80736
1118922,84375
1118923,72550
1118924,72599
1118925,83482
1118926,74807
1118927,83461
1118928,74615
1118929,83551
1118930,76764
1118931,79783
1118932,79877
1118933,81218
1118934,72550
1118935,44621
1118936,87069
1118937,88518
1118938,70712
1118939,86642
1118940,92761
1118941,93911
1118942,70272
1118943,68169
1118944,90004
1118945,59684
1118946,36209
1118947,36736
1118948,60349
1118949,59984
1118950,35867
1118951,61194
1118952,36172
1118953,53622
1118954,36571
1118955,52018
1118956,47690
1118957,48277
1118958,51596
1118959,48452
1118960,52469
1118961,48261
1118962,48308
1118963,44403
1118964,45607
1118965,46420
1118966,50215
1118967,50215
1118968,47779
1118969,56063
1118970,51326
1118971,46451
1118972,56494
1118973,48637
1118974,51155
1118975,47516
1118976,47172
1118977,48000
1118978,55585
1118979,51115
1118980,46740
1118981,50287
1118982,71129
1118983,74569
1118984,64685
1118985,67927
1118986,81944
1118987,32517
1118988,75420
1118989,74125
1118990,74879
1118991,76271
1118992,76170
1118993,61008
1118994,46257
1118995,100464
1118996,49385
1118997,47481
1118998,48376
1118999,19158
1119000,79918
1119001,81237
1119002,71383
1119003,77177
1119004,33723
1119005,52703
1119006,63473
1119007,58258
1119008,45160
1119009,94596
1119010,89925
1119011,97833
1119012,94056
1119013,53330
1119014,80529
1119015,81464
1119016,80396
1119017,83500
1119018,62061
1119019,89057
1119020,63293
1119021,63311
1119022,66152
1119023,66582
1119024,63045
1119025,67365
1119026,97463
1119027,68458
1119028,96138
1119029,59906
1119030,89965
1119031,78748
1119032,78558
1119033,92737
1119034,83786
1119035,74662
1119036,80611
1119037,92226
1119038,82791
1119039,79022
1119040,82554
1119041,93022
1119042,102820
1119043,81972
1119044,88319
1119045,82861
1119046,82861
1119047,49826
1119048,35404
1119049,35336
1119050,52000
1119051,94523
1119052,90481
1119053,91639
1119054,29930
1119055,82635
1119056,69113
1119057,74127
1119058,72683
1119059,63714
1119060,76656
1119061,67762
1119062,68221
1119063,52456
1119064,67425
1119065,81917
1119066,43655
1119067,82061
1119068,78184
1119069,81651
1119070,77925
1119071,88813
1119072,81361
1119073,36352
1119074,90289
1119075,74533
1119076,90298
1119077,178177
1119078,89635
1119079,91528
1119080,88698
1119081,75790
1119082,83854
1119083,75875
1119084,49572
1119085,92369
1119086,53726
1119087,80340
1119088,63324
1119089,55685
